Simu_round	Time_Greedy	Time_exhaus	Number_Greedy	Number_exhaus	Info	greedy_PE	exhaus_PE	greedy_PIC	exhaus_PIC
1659	0	0	2	2		0.6717,0.5901,0.7169,0.6596;0.6717,0.5901,0.5616,0.6078	0.6717,0.7169,0.5901,0.6596;0.6717,0.5616,0.5901,0.6078	0.6756,0.6102,0.7204,0.6687;0.6756,0.6102,0.5958,0.6272	0.6756,0.7204,0.6102,0.6687;0.6756,0.5958,0.6102,0.6272
1660	0	0	0	0	Both_failed	0	0	0	0
1661	0	0	0	0	Both_failed	0	0	0	0
1662	0	0	0	0	Both_failed	0	0	0	0
1663	0	0	0	0	Both_failed	0	0	0	0
1664	0	0	0	0	Both_failed	0	0	0	0
1665	0	0	0	0	Both_failed	0	0	0	0
1666	0	0	0	0	Both_failed	0	0	0	0
1667	0	0	1	1		0.6717,0.5616,0.6166	0.6717,0.5616,0.6166	0.6756,0.5958,0.6357	0.6756,0.5958,0.6357
1668	0	0	0	0	Both_failed	0	0	0	0
1669	0	0	0	0	Both_failed	0	0	0	0
1670	0	0	1	2	Exhaus	0.7454,0.4518,0.427,0.5414	0.7454,0.4518,0.427,0.5414;0.2995,0.4518,0.427,0.3928	0.7446,0.45,0.4918,0.5621	0.7446,0.45,0.4918,0.5621;0.3142,0.45,0.4918,0.4187
1671	0	0	0	0	Both_failed	0	0	0	0
1672	0	0	2	2		0.6654,0.5233,0.5616,0.5834;0.6654,0.5233,0.5616,0.5834	0.5616,0.6654,0.5233,0.5834;0.6654,0.5233,0.5616,0.5834	0.6918,0.535,0.5958,0.6075;0.6918,0.535,0.5958,0.6075	0.5958,0.6918,0.535,0.6075;0.6918,0.535,0.5958,0.6075
1673	0	0	0	0	Both_failed	0	0	0	0
1674	0	0	0	0	Both_failed	0	0	0	0
1675	0	0	0	0	Both_failed	0	0	0	0
1676	0	0	1	1		0.6717,0.4951,0.3761,0.5143	0.3761,0.4951,0.6717,0.5143	0.6756,0.5632,0.4102,0.5497	0.4102,0.5632,0.6756,0.5497
1677	0	0	0	0	Both_failed	0	0	0	0
1678	0	0	4	6	Exhaus	0.8808,0.4951,0.688;0.8808,0.7454,0.8131;0.8808,0.5901,0.7354;0.8808,0.8288,0.8548	0.4951,0.8808,0.688;0.4951,0.8288,0.662;0.7454,0.8808,0.8131;0.7454,0.8288,0.7871;0.8808,0.5901,0.7354;0.8808,0.8288,0.8548	0.8442,0.5632,0.7037;0.8442,0.7446,0.7944;0.8442,0.6102,0.7272;0.8442,0.7978,0.821	0.5632,0.8442,0.7037;0.5632,0.7978,0.6805;0.7446,0.8442,0.7944;0.7446,0.7978,0.7712;0.8442,0.6102,0.7272;0.8442,0.7978,0.821
1679	0	0	0	0	Both_failed	0	0	0	0
1680	0	0	0	0	Both_failed	0	0	0	0
1681	0	0	0	0	Both_failed	0	0	0	0
1682	0	0	0	0	Both_failed	0	0	0	0
1683	0	0	0	0	Both_failed	0	0	0	0
1684	0	0	0	0	Both_failed	0	0	0	0
