Simu_round	Time_Greedy	Time_exhaus	Number_Greedy	Number_exhaus	Info	greedy_PE	exhaus_PE	greedy_PIC	exhaus_PIC
2342	0	0	1	1		0.6717,0.7029,0.5535,0.4859,0.6035	0.6717,0.7029,0.5535,0.4859,0.6035	0.6756,0.7014,0.5812,0.5478,0.6265	0.6756,0.7014,0.5812,0.5478,0.6265
2343	0	0	0	0	Both_failed	0	0	0	0
2344	0	0	0	0	Both_failed	0	0	0	0
2345	0	0	0	0	Both_failed	0	0	0	0
2346	0	0	0	0	Both_failed	0	0	0	0
2347	0	0	0	0	Both_failed	0	0	0	0
2348	0	0	0	0	Both_failed	0	0	0	0
2349	0	0	0	0	Both_failed	0	0	0	0
2350	0	0	0	0	Both_failed	0	0	0	0
2351	0	0	0	0	Both_failed	0	0	0	0
2352	0	0	0	0	Both_failed	0	0	0	0
2353	0	0	0	0	Both_failed	0	0	0	0
2354	0	0	0	0	Both_failed	0	0	0	0
2355	0	0	0	0	Both_failed	0	0	0	0
2356	0	0	0	0	Both_failed	0	0	0	0
2357	0	0	0	0	Both_failed	0	0	0	0
2358	0	0	0	0	Both_failed	0	0	0	0
2359	0	0	0	0	Both_failed	0	0	0	0
2360	0	0	0	0	Both_failed	0	0	0	0
2361	0	0	0	0	Both_failed	0	0	0	0
2362	0	0	0	0	Both_failed	0	0	0	0
2363	0	0	0	0	Both_failed	0	0	0	0
2364	0	0	0	0	Both_failed	0	0	0	0
2365	0	0	0	0	Both_failed	0	0	0	0
2366	0	0	0	0	Both_failed	0	0	0	0
2367	0	0	0	0	Both_failed	0	0	0	0
2368	0	0	0	0	Both_failed	0	0	0	0
2369	0	0	3	3		0.8808,0.8288,0.6149,0.7748;0.8808,0.8288,0.6493,0.7863;0.8808,0.8288,0.6717,0.7938	0.8288,0.6149,0.8808,0.7748;0.8288,0.6493,0.8808,0.7863;0.8288,0.8808,0.6717,0.7938	0.8442,0.7978,0.6454,0.7625;0.8442,0.7978,0.672,0.7713;0.8442,0.7978,0.6756,0.7725	0.7978,0.6454,0.8442,0.7625;0.7978,0.672,0.8442,0.7713;0.7978,0.8442,0.6756,0.7725
2370	0	0	0	0	Both_failed	0	0	0	0
2371	0	0	2	2		0.4124,0.4859,0.4527,0.4518,0.4507;0.4124,0.4859,0.4527,0.5141,0.4663	0.4518,0.4859,0.4124,0.4527,0.4507;0.4859,0.4124,0.5141,0.4527,0.4663	0.4662,0.5478,0.4992,0.45,0.4908;0.4662,0.5478,0.4992,0.5862,0.5248	0.45,0.5478,0.4662,0.4992,0.4908;0.5478,0.4662,0.5862,0.4992,0.5248
2372	0	0	0	0	Both_failed	0	0	0	0
2373	0	0	0	0	Both_failed	0	0	0	0
2374	0	0	0	0	Both_failed	0	0	0	0
2375	0	0	0	0	Both_failed	0	0	0	0
2376	0	0	0	0	Both_failed	0	0	0	0
2377	0	0	0	0	Both_failed	0	0	0	0
2378	0	0	0	0	Both_failed	0	0	0	0
2379	0	0	0	0	Both_failed	0	0	0	0
2380	0	0	0	0	Both_failed	0	0	0	0
2381	0	0	0	0	Both_failed	0	0	0	0
2382	0	0	0	0	Both_failed	0	0	0	0
2383	0	0	2	1	Greedy_contained	0.8808,0.5616,0.4124,0.7522,0.6518;0.8808,0.5616,0.4124,0.6717,0.6316	0.8808,0.4124,0.7522,0.6818	0.8442,0.5958,0.4662,0.73,0.659;0.8442,0.5958,0.4662,0.6756,0.6454	0.8442,0.4662,0.73,0.6801
2384	0	0	0	0	Both_failed	0	0	0	0
2385	0	0	0	0	Both_failed	0	0	0	0
2386	0	0	0	0	Both_failed	0	0	0	0
2387	0	0	3	5	Exhaus	0.6717,0.2995,0.6149,0.4518,0.5095;0.6717,0.2995,0.6149,0.5616,0.5369;0.6717,0.2995,0.6149,0.5233,0.5274	0.6717,0.4518,0.6149,0.2995,0.5095;0.6717,0.4518,0.2995,0.5233,0.4866;0.6717,0.6149,0.5616,0.2995,0.5369;0.6717,0.6149,0.2995,0.5233,0.5274;0.4518,0.6149,0.2995,0.5233,0.4724	0.6756,0.3142,0.6454,0.45,0.5213;0.6756,0.3142,0.6454,0.5958,0.5578;0.6756,0.3142,0.6454,0.535,0.5426	0.6756,0.45,0.6454,0.3142,0.5213;0.6756,0.45,0.3142,0.535,0.4937;0.6756,0.6454,0.5958,0.3142,0.5578;0.6756,0.6454,0.3142,0.535,0.5426;0.45,0.6454,0.3142,0.535,0.4862
2388	0	0	0	0	Both_failed	0	0	0	0
2389	0	0	0	0	Both_failed	0	0	0	0
2390	0	0	0	0	Both_failed	0	0	0	0
2391	0	0	2	2		0.8808,0.7029,0.2995,0.6277;0.8808,0.7029,0.4124,0.6654	0.8808,0.2995,0.7029,0.6277;0.8808,0.7029,0.4124,0.6654	0.8442,0.7014,0.3142,0.6199;0.8442,0.7014,0.4662,0.6706	0.8442,0.3142,0.7014,0.6199;0.8442,0.7014,0.4662,0.6706
2392	0	0	0	0	Both_failed	0	0	0	0
2393	0	0	0	0	Both_failed	0	0	0	0
2394	0	0	0	0	Both_failed	0	0	0	0
2395	0	0	0	0	Both_failed	0	0	0	0
2396	0	0	0	0	Both_failed	0	0	0	0
2397	0	0	0	0	Both_failed	0	0	0	0
2398	0	0	0	0	Both_failed	0	0	0	0
2399	0	0	0	0	Both_failed	0	0	0	0
2400	0	0	0	0	Both_failed	0	0	0	0
2401	0	0	0	0	Both_failed	0	0	0	0
2402	0	0	1	1		0.7057,0.427,0.7522,0.6283	0.427,0.7522,0.7057,0.6283	0.673,0.4918,0.73,0.6316	0.4918,0.73,0.673,0.6316
2403	0	0	3	3		0.6501,0.6493,0.2995,0.6501,0.5901,0.5678;0.6501,0.6493,0.2995,0.6501,0.5535,0.5605;0.6501,0.6493,0.2995,0.6501,0.6501,0.5798	0.6501,0.6493,0.5901,0.6501,0.2995,0.5678;0.6501,0.6493,0.6501,0.2995,0.5535,0.5605;0.6501,0.6493,0.6501,0.2995,0.6501,0.5798	0.642,0.672,0.3142,0.642,0.6102,0.5761;0.642,0.672,0.3142,0.642,0.5812,0.5703;0.642,0.672,0.3142,0.642,0.642,0.5824	0.642,0.672,0.6102,0.642,0.3142,0.5761;0.642,0.672,0.642,0.3142,0.5812,0.5703;0.642,0.672,0.642,0.3142,0.642,0.5824
2404	0	0	0	0	Both_failed	0	0	0	0
2405	0	0	0	0	Both_failed	0	0	0	0
2406	0	0	0	0	Both_failed	0	0	0	0
2407	0	0	1	1		0.6717,0.7454,0.6501,0.5233,0.6476	0.5233,0.6717,0.6501,0.7454,0.6476	0.6756,0.7446,0.642,0.535,0.6493	0.535,0.6756,0.642,0.7446,0.6493
2408	0	0	1	1		0.6501,0.4859,0.4518,0.6654,0.5901,0.5687	0.6501,0.5901,0.4518,0.4859,0.6654,0.5687	0.642,0.5478,0.45,0.6918,0.6102,0.5884	0.642,0.6102,0.45,0.5478,0.6918,0.5884
2409	0	0	0	0	Both_failed	0	0	0	0
2410	0	0	0	0	Both_failed	0	0	0	0
2411	0	0	0	0	Both_failed	0	0	0	0
2412	0	0	1	1		0.8288,0.427,0.6654,0.6404	0.6654,0.8288,0.427,0.6404	0.7978,0.4918,0.6918,0.6605	0.6918,0.7978,0.4918,0.6605
2413	0	0	0	0	Both_failed	0	0	0	0
2414	0	0	0	0	Both_failed	0	0	0	0
2415	0	0	0	0	Both_failed	0	0	0	0
2416	0	0	0	0	Both_failed	0	0	0	0
2417	0	0	1	1		0.8288,0.427,0.6501,0.6353	0.6501,0.8288,0.427,0.6353	0.7978,0.4918,0.642,0.6439	0.642,0.7978,0.4918,0.6439
2418	0	0	0	0	Both_failed	0	0	0	0
2419	0	0	0	0	Both_failed	0	0	0	0
2420	0	0	0	0	Both_failed	0	0	0	0
2421	0	0	1	1		0.8808,0.6149,0.4124,0.636	0.8808,0.6149,0.4124,0.636	0.8442,0.6454,0.4662,0.6519	0.8442,0.6454,0.4662,0.6519
2422	0	0	0	0	Both_failed	0	0	0	0
2423	0	0	0	0	Both_failed	0	0	0	0
2424	0	0	2	2		0.6717,0.6717,0.4124,0.6493,0.6013;0.6717,0.6717,0.4124,0.4951,0.5627	0.4124,0.6717,0.6717,0.6493,0.6013;0.4124,0.6717,0.6717,0.4951,0.5627	0.6756,0.6756,0.4662,0.672,0.6224;0.6756,0.6756,0.4662,0.5632,0.5952	0.4662,0.6756,0.6756,0.672,0.6224;0.4662,0.6756,0.6756,0.5632,0.5952
2425	0	0	0	0	Both_failed	0	0	0	0
2426	0	0	0	0	Both_failed	0	0	0	0
2427	0	0	0	0	Both_failed	0	0	0	0
2428	0	0	2	1	Greedy_contained	0.6717,0.6717,0.5535,0.5616,0.6146;0.6717,0.6717,0.5535,0.427,0.581	0.5535,0.5616,0.6717,0.5956	0.6756,0.6756,0.5812,0.5958,0.632;0.6756,0.6756,0.5812,0.4918,0.606	0.5812,0.5958,0.6756,0.6175
2429	0	0	2	4	Exhaus	0.5901,0.5616,0.5535,0.5901,0.5738;0.5901,0.5616,0.5535,0.4124,0.5294	0.5901,0.5616,0.5535,0.5901,0.5738;0.5901,0.5616,0.5535,0.4124,0.5294;0.5616,0.5616,0.5535,0.4124,0.5223;0.5616,0.5616,0.5901,0.4124,0.5314	0.6102,0.5958,0.5812,0.6102,0.5993;0.6102,0.5958,0.5812,0.4662,0.5634	0.6102,0.5958,0.5812,0.6102,0.5993;0.6102,0.5958,0.5812,0.4662,0.5634;0.5958,0.5958,0.5812,0.4662,0.5598;0.5958,0.5958,0.6102,0.4662,0.567
2430	0	0	0	0	Both_failed	0	0	0	0
2431	0	0	0	0	Both_failed	0	0	0	0
