IDX	Exhaus	First	Statistic
638	2	2	PIC
639	2	3	PIC
640	3	5	PIC
641	3	5	PIC
642	2	4	PIC
643	3	3	PIC
644	3	3	PIC
645	4	8	PIC
646	2	5	PIC
647	3	3	PIC
648	3	5	PIC
649	2	2	PIC
650	2	5	PIC
651	3	3	PIC
652	2	2	PIC
653	3	6	PIC
654	2	2	PIC
655	3	3	PIC
656	3	4	PIC
657	3	4	PIC
658	2	2	PIC
659	3	5	PIC
660	3	3	PIC
661	4	7	PIC
662	2	3	PIC
663	2	4	PIC
664	3	8	PIC
665	3	4	PIC
666	2	3	PIC
667	3	4	PIC
668	3	7	PIC
669	3	4	PIC
670	3	5	PIC
671	4	8	PIC
672	2	4	PIC
673	2	2	PIC
674	3	3	PIC
675	2	3	PIC
676	2	7	PIC
677	3	6	PIC
678	2	2	PIC
679	3	4	PIC
680	3	9	PIC
681	2	5	PIC
682	3	3	PIC
683	3	6	PIC
684	3	5	PIC
685	2	2	PIC
686	3	9	PIC
687	3	6	PIC
688	2	2	PIC
689	3	7	PIC
690	3	3	PIC
691	3	6	PIC
692	2	2	PIC
693	3	7	PIC
694	3	4	PIC
695	3	4	PIC
696	3	4	PIC
697	2	2	PIC
698	3	5	PIC
699	3	7	PIC
700	3	4	PIC
701	2	3	PIC
702	2	2	PIC
703	2	4	PIC
704	3	4	PIC
705	2	5	PIC
706	3	8	PIC
707	3	5	PIC
708	3	3	PIC
709	2	4	PIC
710	2	8	PIC
711	3	4	PIC
712	3	5	PIC
713	3	4	PIC
714	2	5	PIC
715	2	3	PIC
716	3	4	PIC
717	3	5	PIC
718	2	3	PIC
719	2	3	PIC
720	2	2	PIC
721	4	4	PIC
722	2	6	PIC
723	3	6	PIC
724	3	7	PIC
725	2	2	PIC
726	3	6	PIC
727	2	2	PIC
728	3	9	PIC
729	3	7	PIC
730	2	2	PIC
731	2	2	PIC
732	3	7	PIC
733	3	4	PIC
734	3	4	PIC
735	4	7	PIC
736	3	4	PIC
737	4	8	PIC
738	3	5	PIC
739	3	7	PIC
740	3	7	PIC
741	3	4	PIC
742	3	9	PIC
743	3	4	PIC
744	3	5	PIC
745	4	5	PIC
746	3	8	PIC
747	2	2	PIC
748	2	4	PIC
749	3	9	PIC
750	3	5	PIC
751	3	5	PIC
752	2	2	PIC
753	3	3	PIC
754	3	3	PIC
755	2	5	PIC
756	3	9	PIC
757	3	5	PIC
758	3	5	PIC
759	3	4	PIC
760	2	3	PIC
761	3	10	PIC
762	3	8	PIC
763	3	10	PIC
764	3	6	PIC
765	4	8	PIC
766	4	5	PIC
767	3	8	PIC
768	2	2	PIC
769	3	5	PIC
770	2	8	PIC
771	3	5	PIC
772	4	7	PIC
773	4	8	PIC
774	3	6	PIC
775	2	3	PIC
776	3	4	PIC
777	3	3	PIC
778	3	5	PIC
779	2	2	PIC
780	2	2	PIC
781	3	4	PIC
782	3	6	PIC
783	2	2	PIC
784	3	9	PIC
785	2	2	PIC
786	2	4	PIC
787	4	5	PIC
788	3	10	PIC
789	3	7	PIC
790	3	6	PIC
791	2	3	PIC
792	3	5	PIC
793	2	3	PIC
794	2	2	PIC
795	2	5	PIC
796	3	8	PIC
797	3	9	PIC
798	2	3	PIC
799	3	4	PIC
800	3	4	PIC
801	2	5	PIC
802	2	4	PIC
803	3	5	PIC
804	2	5	PIC
805	2	4	PIC
806	3	6	PIC
807	3	5	PIC
808	3	6	PIC
809	3	8	PIC
810	2	3	PIC
811	3	7	PIC
812	3	5	PIC
813	2	4	PIC
814	2	3	PIC
815	4	4	PIC
816	3	6	PIC
817	3	7	PIC
818	3	7	PIC
819	2	3	PIC
820	2	5	PIC
821	2	2	PIC
822	3	6	PIC
823	2	5	PIC
824	3	3	PIC
